Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2022-01-01,Nytårsdag,New Year's Day,DK,True,True,,Public,
2022-04-14,Skærtorsdag,Maundy Thursday,DK,False,True,,Public,
2022-04-15,Langfredag,Good Friday,DK,False,True,,Public,
2022-04-17,Påskedag,Easter Sunday,DK,False,True,,Public,
2022-04-18,2. Påskedag,Easter Monday,DK,False,True,,Public,
2022-05-13,Store bededag,General Prayer Day,DK,False,True,,Public,
2022-05-26,Kristi Himmelfartsdag,Ascension Day,DK,False,True,,Public,
2022-05-27,Banklukkedag,Bank closing day,DK,False,True,,"Bank, School, Optional",
2022-06-05,Pinsedag,Pentecost,DK,False,True,,Public,
2022-06-05,Grundlovsdag,Constitution Day,DK,True,True,,"Bank, School, Optional",
2022-06-06,2. Pinsedag,Whit Monday,DK,False,True,,Public,
2022-12-24,Juleaftensdag,Christmas Eve,DK,True,True,,"Bank, School, Optional",
2022-12-25,Juledag / 1. juledag,Christmas Day,DK,True,True,,Public,
2022-12-26,2. juledag,St. Stephen's Day,DK,True,True,,Public,
2022-12-31,Nytårsaftensdag,New Year's Eve,DK,True,True,,"Bank, School, Optional",
